uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
TO,1703909,CASEARA,5193,5265,1.39%,NÃO,Norte
TO,1704105,CENTENÁRIO,2835,2866,1.09%,NÃO,Norte
TO,1704600,CHAPADA DE AREIA,1402,1407,0.36%,NÃO,Norte
TO,1705102,CHAPADA DA NATIVIDADE,3363,3364,0.03%,NÃO,Norte
TO,1705508,COLINAS DO TOCANTINS,34416,34839,1.23%,NÃO,Norte
TO,1705557,COMBINADO,4863,4874,0.23%,NÃO,Norte
TO,1705607,CONCEIÇÃO DO TOCANTINS,4194,4179,-0.36%,NÃO,Norte
TO,1706001,COUTO MAGALHÃES,5477,5529,0.95%,NÃO,Norte
TO,1706100,CRISTALÂNDIA,7380,7374,-0.08%,NÃO,Norte
TO,1706258,CRIXÁS DO TOCANTINS,1694,1708,0.83%,NÃO,Norte
TO,1706506,DARCINÓPOLIS,5912,5988,1.29%,NÃO,Norte
TO,1707009,DIANÓPOLIS,21457,21738,1.31%,NÃO,Norte
