id,nome,meio,cidade,uf,estado,regiao,pais,fonte
id1195,CANAL BOA VIDA,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1196,DOURANEWS,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1197,MS TOTAL,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1198,CONESUL NEWS,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1199,DOURADOS NEWS,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id120,CAMAÇARI NOTICIAS,Jornal,Camaçari,BA,Bahia,Nordeste,Brasil,Secom/PR
id1200,DIARIO DE CAMPO GRANDE,Online,Nova Andradina,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1201,METROPOLE NEWS,Online,Nova Andradina,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1202,RÁDIO CLUBE NET,Online,Ribas do Rio Pardo,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1203,FOLHA DO NORTE MS,Online,Rio Verde de Mato Grosso,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1204,IDEST,Online,São Gabriel do Oeste,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1205,RÁDIO CAÇULA,Online,Três Lagoas,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1206,PERFIL NEWS,Online,Três Lagoas,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1207,HOJE MAIS,Online,Três Lagoas,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1208,CORREIO DA FRONTEIRA,Jornal,Amambaí,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1209,A GAZETA,Jornal,Amambaí,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id121,TABU,Jornal,Canavieiras,BA,Bahia,Nordeste,Brasil,Secom/PR
id1210,FOLHA INTEGRAÇAO,Jornal,Aparecida do Taboado,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1211,JORNAL DO BOLSAO,Jornal,Aparecida do Taboado,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
