cidade,Codmun6,Codmun7,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
PINDAMONHANGABA,353800.0,3538006.0,5,3.42,n/d,SP,São Paulo,Sudeste,Brasil,146392.0,826.02,0.663,0.773,0.736,0.843,0.745
PRESIDENTE PRUDENTE,354140.0,3541406.0,7,3.41,n/d,SP,São Paulo,Sudeste,Brasil,205558.0,1080.22,0.674,0.806,0.774,0.858,0.788
TOLEDO,412770.0,4127700.0,4,3.36,n/d,PR,Paraná,Sul,Brasil,118908.0,876.72,0.586,0.768,0.702,0.855,0.755
APARECIDA DE GOIÂNIA,520140.0,5201405.0,15,3.32,n/d,GO,Goiás,Centro-Oeste,Brasil,452269.0,689.3,0.57,0.718,0.62,0.834,0.716
JEQUIÉ,291800.0,2918001.0,5,3.32,n/d,BA,Bahia,Nordeste,Brasil,150577.0,473.92,0.49,0.665,0.568,0.79,0.656
PIRACICABA,353870.0,3538709.0,12,3.31,n/d,SP,São Paulo,Sudeste,Brasil,363011.0,1143.2,0.64,0.785,0.717,0.848,0.797
TABOÃO DA SERRA,355280.0,3552809.0,8,3.28,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983.0,812.19,0.653,0.769,0.71,0.863,0.742
TAUBATÉ,355410.0,3554102.0,9,3.26,n/d,SP,São Paulo,Sudeste,Brasil,276215.0,1011.95,0.682,0.8,0.746,0.883,0.778
PARAUAPEBAS,150553.0,1505536.0,5,3.26,n/d,PA,Pará,Norte,Brasil,153443.0,627.61,0.603,0.715,0.644,0.809,0.701
ARACAJU,280030.0,2800308.0,18,3.18,n/d,SE,Sergipe,Nordeste,Brasil,565274.0,1052.03,0.695,0.77,0.708,0.823,0.784
GARANHUNS,260600.0,2606002.0,4,3.11,n/d,PE,Pernambuco,Nordeste,Brasil,128786.0,492.44,0.466,0.664,0.556,0.795,0.662
SANTA MARIA,431690.0,4316907.0,8,3.09,n/d,RS,Rio Grande do Sul,Sul,Brasil,258667.0,1127.25,0.683,0.784,0.715,0.848,0.795
GOVERNADOR VALADARES,312770.0,3127701.0,8,3.06,n/d,MG,Minas Gerais,Sudeste,Brasil,261663.0,678.74,0.549,0.727,0.644,0.834,0.714
CAXIAS DO SUL,430510.0,4305108.0,13,3.0,n/d,RS,Rio Grande do Sul,Sul,Brasil,433304.0,1253.93,0.668,0.782,0.686,0.86,0.812
UBÁ,316990.0,3169901.0,3,2.97,n/d,MG,Minas Gerais,Sudeste,Brasil,101130.0,739.56,0.503,0.724,0.62,0.841,0.727
ITATIBA,352340.0,3523404.0,3,2.97,n/d,SP,São Paulo,Sudeste,Brasil,101022.0,1080.74,0.599,0.778,0.708,0.844,0.788
SANTO ANDRÉ,354780.0,3547809.0,20,2.96,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948.0,1304.31,0.707,0.815,0.769,0.861,0.819
ANGRA DOS REIS,330010.0,3300100.0,5,2.96,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814.0,798.68,0.554,0.724,0.605,0.846,0.74
JOINVILLE,420910.0,4209102.0,15,2.93,n/d,SC,Santa Catarina,Sul,Brasil,512406.0,1126.74,0.709,0.809,0.749,0.889,0.795
BARREIRAS,290320.0,2903201.0,4,2.93,n/d,BA,Bahia,Nordeste,Brasil,136670.0,602.82,0.596,0.721,0.668,0.807,0.695
ALMIRANTE TAMANDARÉ,410040.0,4100400.0,3,2.91,RM Curitiba,PR,Paraná,Sul,Brasil,103008.0,646.02,0.496,0.699,0.575,0.84,0.706
PASSOS,314790.0,3147907.0,3,2.84,n/d,MG,Minas Gerais,Sudeste,Brasil,105700.0,802.97,0.525,0.756,0.658,0.886,0.741
BARRA MANSA,330040.0,3300407.0,5,2.82,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326.0,705.1,0.582,0.729,0.657,0.819,0.72
CAMPINAS,350950.0,3509502.0,30,2.8,n/d,SP,São Paulo,Sudeste,Brasil,1071983.0,1390.83,0.677,0.805,0.731,0.86,0.829
ARAÇATUBA,350280.0,3502804.0,5,2.77,n/d,SP,São Paulo,Sudeste,Brasil,180537.0,1036.09,0.643,0.788,0.744,0.841,0.782
SÃO MATEUS,320490.0,3204906.0,3,2.77,n/d,ES,Espírito Santo,Sudeste,Brasil,108223.0,699.99,0.557,0.735,0.655,0.843,0.719
JANDIRA,352500.0,3525003.0,3,2.77,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108193.0,792.33,0.609,0.76,0.706,0.841,0.738
SÃO BERNARDO DO CAMPO,354870.0,3548708.0,21,2.76,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343.0,1212.65,0.702,0.805,0.752,0.861,0.807
UBERABA,317010.0,3170107.0,8,2.73,n/d,MG,Minas Gerais,Sudeste,Brasil,292644.0,978.01,0.63,0.772,0.705,0.845,0.772
VOLTA REDONDA,330630.0,3306305.0,7,2.72,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,257116.0,920.51,0.672,0.771,0.72,0.833,0.763
JUNDIAÍ,352590.0,3525904.0,10,2.71,n/d,SP,São Paulo,Sudeste,Brasil,368777.0,1431.55,0.674,0.822,0.768,0.866,0.834
MOSSORÓ,240800.0,2408003.0,7,2.71,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,258460.0,600.28,0.565,0.72,0.663,0.811,0.694
ANÁPOLIS,520110.0,5201108.0,9,2.7,n/d,GO,Goiás,Centro-Oeste,Brasil,333067.0,785.17,0.609,0.737,0.66,0.822,0.737
SÃO JOSÉ DOS PINHAIS,412550.0,4125506.0,7,2.66,RM Curitiba,PR,Paraná,Sul,Brasil,263194.0,846.93,0.617,0.758,0.678,0.859,0.749
TERESINA,221100.0,2211001.0,21,2.6,n/d,PI,Piauí,Nordeste,Brasil,806168.0,757.57,0.642,0.751,0.707,0.82,0.731
