cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ROSÁRIO DO SUL,Jornal,431640,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,39469,643.97,0.483,0.699,0.576,0.841,0.705
SÃO GABRIEL,Jornal,431830,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,59422,667.06,0.475,0.699,0.585,0.822,0.711
SAPIRANGA,Jornal,431990,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,74784,713.99,0.46,0.711,0.598,0.832,0.722
URUGUAIANA,Jornal,432240,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,124283,714.26,0.606,0.744,0.661,0.863,0.722
ALTA FLORESTA,Jornal,510025,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,48593,660.84,0.496,0.714,0.629,0.817,0.709
CALDAS NOVAS,Jornal,520450,5,n/d,GO,Goiás,Centro-Oeste,Brasil,69852,794.78,0.573,0.733,0.64,0.832,0.739
GOIANÉSIA,Jornal,520860,5,n/d,GO,Goiás,Centro-Oeste,Brasil,59125,701.38,0.472,0.727,0.636,0.84,0.719
ITUMBIARA,Jornal,521150,5,n/d,GO,Goiás,Centro-Oeste,Brasil,92229,821.43,0.556,0.752,0.682,0.838,0.744
SENADOR CANEDO,Jornal,522045,5,n/d,GO,Goiás,Centro-Oeste,Brasil,84279,537.58,0.538,0.701,0.617,0.827,0.676
BOA VISTA,Jornal,140010,4,n/d,RR,Roraima,Norte,Brasil,281538,786.55,0.687,0.752,0.708,0.816,0.737
PARAUAPEBAS,Jornal,150553,4,n/d,PA,Pará,Norte,Brasil,153443,627.61,0.603,0.715,0.644,0.809,0.701
SANTARÉM,Jornal,150680,4,n/d,PA,Pará,Norte,Brasil,293064,409.07,0.569,0.691,0.648,0.807,0.632
TERESINA,Jornal,221100,4,n/d,PI,Piauí,Nordeste,Brasil,806168,757.57,0.642,0.751,0.707,0.82,0.731
MOSSORÓ,Jornal,240800,4,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,258460,600.28,0.565,0.72,0.663,0.811,0.694
FEIRA DE SANTANA,Jornal,291080,4,n/d,BA,Bahia,Nordeste,Brasil,552741,662.24,0.576,0.712,0.619,0.82,0.71
ITABUNA,Jornal,291480,4,n/d,BA,Bahia,Nordeste,Brasil,203181,605.12,0.576,0.712,0.643,0.807,0.695
JEQUIÉ,Jornal,291800,4,n/d,BA,Bahia,Nordeste,Brasil,150577,473.92,0.49,0.665,0.568,0.79,0.656
TEIXEIRA DE FREITAS,Jornal,293135,4,n/d,BA,Bahia,Nordeste,Brasil,136656,560.73,0.503,0.685,0.588,0.8,0.683
CACHOEIRO DE ITAPEMIRIM,Jornal,320120,4,n/d,ES,Espírito Santo,Sudeste,Brasil,188790,763.71,0.561,0.746,0.677,0.837,0.733
COLATINA,Jornal,320150,4,n/d,ES,Espírito Santo,Sudeste,Brasil,110795,788.29,0.528,0.746,0.668,0.841,0.738
CASIMIRO DE ABREU,Jornal,330130,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,35180,768.45,0.568,0.726,0.642,0.811,0.734
