id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo,Duplicata,Fechamento
id6921,Rádio,FUNDACAO DE ASSISTENCIA E EDUCACAO - FAESA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6922,Rádio,RADIO DIFUSORA PRINCESA DO SUL LTDA,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6923,Rádio,FUNDACAO CULTURAL FRANCISCO E CLARA DE ASSIS,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6924,Rádio,FUNDACAO CECILIANO ABEL DE ALMEIDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6925,Televisão,FUND. UNIVERSIT. DE PESQ. ECONOM. E SOCIAIS DE V. VELHA,VILA VELHA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6926,Rádio,FUND. UNIVERSIT. DE PESQ. ECONOM. E SOCIAIS DE V. VELHA,VILA VELHA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6927,Rádio,EMPRESA ESPIRITOSANTENSE DE RADIODIFUSAO LTDA,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6928,Rádio,CONQUISTA COMUNICACAO LTDA,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6929,Rádio,COMUNICACOES ALTEROSAS - RIO DOCE LTDA,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6930,Rádio,COLATINA RADIO SOM LTDA,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6931,Rádio,C.P.Z. COMUNICACOES LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6932,Rádio,ATS PROMOCOES LTDA,ALEGRE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6933,Televisão,ASSOCIACAO PRO-DESENVOLVIMENTO URB E RUR D IBATIBA,IÚNA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6934,Televisão,NASSAU EDITORA RADIO E TV LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6935,Televisão,TELEVISAO VITORIA S/A,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6936,Televisão,A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6939,Rádio,SM COMUNICACOES LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6940,Televisão,PREFEITURA MUNICIPAL DE SANTA TERESA,SANTA TERESA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6942,Rádio,RADIO ULTRA FM LTDA,VILA VELHA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6943,Televisão,PREFEITURA MUNICIPAL DE ECOPORANGA,ECOPORANGA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6944,Televisão,PREFEITURA MUNICIPAL DE PANCAS,PANCAS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6945,Televisão,SISTEMA NORTE DE RADIO E TELEVISAO LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6946,Televisão,PREFEITURA MUNICIPAL DE ALEGRE,ALEGRE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6948,Televisão,TELEVISAO CAPIXABA LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6949,Televisão,PREFEITURA MUNICIPAL DE AFONSO CLAUDIO,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6950,Televisão,PREFEITURA MUNICIPAL DE MUNIZ FREIRE,MUNIZ FREIRE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6951,Televisão,PREFEITURA MUNICIPAL DE NOVA VENECIA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6952,Rádio,FUNDACAO ROBERTO RABELLO DE COMUNICACAO SOCIAL,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6953,Rádio,NASSAU EDITORA RADIO E TV LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6954,Rádio,R.B. - RADIO E TELEVISAO LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6955,Televisão,PREFEITURA MUNICIPAL DE COLATINA,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6956,Televisão,PREFEITURA MUNICIPAL DE IBIRACU,IBIRAÇU,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6957,Televisão,PREFEITURA MUNICIPAL DE ITAPEMIRIM,ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6958,Televisão,SM COMUNICACOES LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6959,Rádio,CRISTO REI COMUNICACOES LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6960,Rádio,CULTURA COMUNICACOES LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6961,Rádio,FUNDACAO CULTURAL SANTA MARIA DE DEUS,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6962,Rádio,RADIO DIFUSORA DE COLATINA LTDA/EPP,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6963,Rádio,RADIO DIFUSORA DE SAO MATEUS LTDA,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6964,Rádio,SUPER RADIO DM LTDA,DOMINGOS MARTINS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6965,Televisão,FUNDACAO CULTURAL FOZ DO RIO DOCE,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6966,Televisão,FUNDACAO CULTURAL SANTA MARIA DE DEUS,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6967,Televisão,PREFEITURA MUNICIPAL DE BAIXO GUANDU,BAIXO GUANDU,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6968,Televisão,PREFEITURA MUNICIPAL DE DOMINGOS MARTINS,DOMINGOS MARTINS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6969,Televisão,PREFEITURA MUNICIPAL DE DORES DO RIO PRETO,DORES DO RIO PRETO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6970,Televisão,PREFEITURA MUNICIPAL DE ICONHA,ICONHA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
