cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
PETROLÂNDIA,SC,Sul,1,4212700,6021,16
PEÇANHA,MG,Sudeste,1,3148608,17871,5
PIANCÓ,PB,Nordeste,2,2511301,16091,12
PICUÍ,PB,Nordeste,2,2511400,18737,10
PIEDADE DE PONTE NOVA,MG,Sudeste,1,3150208,4213,23
PIEDADE DO RIO GRANDE,MG,Sudeste,1,3150307,4684,21
PILAR,PB,Nordeste,1,2511509,11938,8
PILÃO ARCADO,BA,Nordeste,1,2924405,35740,2
PINDORAMA,SP,Sudeste,2,3538105,16656,12
PINHAL GRANDE,RS,Sul,1,4314472,4544,22
PINHALZINHO,SP,Sudeste,2,3538204,14763,13
PINHEIRAL,RJ,Sudeste,1,3303955,24282,4
PINHEIRO PRETO,SC,Sul,1,4213005,3480,28
PINHÃO,PR,Sul,2,4119301,32322,6
PIO XII,MA,Nordeste,1,2108702,20861,4
PIQUET CARNEIRO,CE,Nordeste,1,2310902,16731,5
PIQUETE,SP,Sudeste,2,3538501,13976,14
PIRACURUCA,PI,Nordeste,1,2208304,28312,3
PIRANGI,SP,Sudeste,1,3539004,11323,8
PIRANGUÇU,MG,Sudeste,1,3150901,5514,18
PIRANHAS,AL,Nordeste,1,2707107,25298,3
PIRANHAS,GO,Centro-Oeste,1,5217203,11022,9
PIRAPETINGA,MG,Sudeste,2,3151107,10876,18
PIRAPOZINHO,SP,Sudeste,1,3539202,27021,3
PIRATINI,RS,Sul,2,4314605,20799,9
PIRAÚBA,MG,Sudeste,1,3151305,11080,9
PIRITIBA,BA,Nordeste,2,2924801,25211,7
PITANGUEIRAS,SP,Sudeste,1,3539509,38889,2
PIÚMA,ES,Sudeste,2,3204203,21336,9
PLANALTINA,GO,Centro-Oeste,1,5217609,88863,1
PLANALTINO,BA,Nordeste,1,2924900,9582,10
POCINHOS,PB,Nordeste,1,2512002,18622,5
POCRANE,MG,Sudeste,1,3151909,8841,11
POJUCA,BA,Nordeste,1,2925204,39718,2
POMPÉIA,SP,Sudeste,2,3540002,21674,9
PONGAÍ,SP,Sudeste,1,3540101,3480,28
PONTA DE PEDRAS,PA,Norte,1,1505700,30219,3
PONTALINA,GO,Centro-Oeste,1,5217708,17991,5
PONTE ALTA,SC,Sul,1,4213302,4767,20
PONTE SERRADA,SC,Sul,2,4213401,11545,17
PORANGABA,SP,Sudeste,1,3540507,9565,10
PORECATU,PR,Sul,1,4120002,13754,7
PORTALEGRE,RN,Nordeste,1,2410207,7909,12
PORTEL,PA,Norte,1,1505809,60322,1
PORTELÂNDIA,GO,Centro-Oeste,1,5218102,4044,24
PORTO CALVO,AL,Nordeste,1,2707305,27501,3
PORTO DA FOLHA,SE,Nordeste,1,2805604,28735,3
PORTO DE PEDRAS,AL,Nordeste,1,2707404,7965,12
PORTO ESPERIDIÃO,MT,Centro-Oeste,1,5106828,11603,8
PORTO FIRME,MG,Sudeste,1,3152303,11245,8
PORTO FRANCO,MA,Nordeste,1,2109007,23760,4
PORTO LUCENA,RS,Sul,2,4315008,5227,38
PORTO MURTINHO,MS,Centro-Oeste,1,5006903,16879,5
PORTO VITÓRIA,PR,Sul,1,4120309,4148,24
PORTO XAVIER,RS,Sul,1,4315107,10718,9
PORTÃO,RS,Sul,2,4314803,34692,5
POSSE,GO,Centro-Oeste,2,5218300,35574,5
